Player,Opp,Date,Number,Pos,Age,Min,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,KP,PassesintoFinalThird,PPA,CrsPA,PrgP,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,Take_onsAtt,Take_onsSucc,Take_onsSucc%,Take_onsTkld,Take_onsTkld%,Carries,CarriesTotDist,CarriesPrgDist,CarriesPrgC,CarriesintoFinalThird,CPA,CarriesMis,CarriesDis,Rec,PrgR
Esther Gonzalez,Portugal,03-07-2025,9,FW,32-207,65,7,8,87.5,72,16,5,5,100,1,2,50,0,0,,0,0,0,0,0,1,0,1,18,0,0,2,16,7,18,2,1,50,1,50,10,66,2,0,0,0,1,2,10,6
Salma Paralluelo,Portugal,03-07-2025,18,"LM,FW",21-232,25,4,8,50,60,28,3,5,60,0,1,0,1,2,50,1,0.4,0.4,1,0,1,1,0,17,1,2,3,12,3,17,5,1,20,4,80,13,71,32,1,0,0,2,2,13,4
Claudia Pina,Portugal,03-07-2025,20,LM,23-325,45,23,36,63.9,289,43,17,20,85,4,9,44.4,1,4,25,1,0,0,1,1,0,0,1,44,0,4,11,30,5,44,3,1,33.3,2,66.7,29,95,26,1,0,0,2,2,33,12
Athenea del Castillo,Portugal,03-07-2025,10,RM,24-252,45,9,14,64.3,93,13,9,9,100,0,1,0,0,0,,0,0,0,0,0,0,0,2,22,1,3,5,14,4,22,2,0,0,2,100,13,42,27,0,1,0,0,1,11,5
Alexia Putellas,Portugal,03-07-2025,11,CM,31-149,90,57,66,86.4,778,233,36,40,90,17,22,77.3,2,2,100,0,0.4,0.6,6,8,6,1,12,76,0,3,29,45,6,76,5,5,100,0,0,51,149,60,3,2,2,1,0,64,6
Vicky Lopez,Portugal,03-07-2025,19,CM,18-342,80,48,58,82.8,810,162,24,27,88.9,19,21,90.5,4,7,57.1,0,0.3,0.5,3,3,1,0,6,64,0,2,31,32,6,64,5,5,100,0,0,46,210,76,3,0,2,3,1,43,7
Aitana Bonmati,Portugal,03-07-2025,6,CM,27-166,10,2,4,50,20,4,2,2,100,0,0,,0,2,0,0,0.4,0.5,1,0,0,0,0,6,0,0,4,3,1,6,0,0,,0,,5,52,25,1,0,1,0,0,4,1
Mariona Caldentey,Portugal,03-07-2025,8,"RM,LM",29-106,76,55,63,87.3,844,285,26,28,92.9,24,26,92.3,3,4,75,2,0.9,0.9,2,11,2,0,8,76,0,2,37,38,3,76,1,1,100,0,0,59,230,79,3,1,1,3,1,56,13
Cristina Martin-Prieto,Portugal,03-07-2025,16,FW,32-111,14,1,2,50,10,0,1,1,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,7,0,1,3,4,3,7,1,0,0,1,100,5,18,1,0,0,0,1,0,5,0
Patricia Guijarro,Portugal,03-07-2025,12,DM,27-047,90,37,43,86,619,142,18,20,90,18,20,90,1,3,33.3,0,0,0,0,7,0,0,3,54,2,12,32,10,2,54,1,1,100,0,0,30,100,46,0,0,0,2,0,32,2
Olga Carmona,Portugal,03-07-2025,7,LB,25-021,90,72,83,86.7,955,332,49,55,89.1,17,17,100,4,8,50,1,0.3,0.4,1,13,3,0,15,96,0,10,47,39,2,96,5,3,60,2,40,66,263,179,5,6,0,1,0,70,14
Laia Aleixandri,Portugal,03-07-2025,14,CB,24-312,90,72,76,94.7,1421,708,23,24,95.8,45,46,97.8,4,5,80,0,0,0,0,16,0,0,13,85,3,18,65,2,0,85,0,0,,0,,67,282,179,0,0,0,0,0,69,0
Maria Mendez,Portugal,03-07-2025,5,CB,24-084,90,69,75,92,1332,619,23,24,95.8,39,41,95.1,6,9,66.7,0,0,0,0,5,0,0,5,82,3,21,53,8,3,82,0,0,,0,,51,207,116,0,0,0,2,0,62,0
Ona Batlle,Portugal,03-07-2025,2,RB,26-023,65,55,64,85.9,769,157,39,43,90.7,12,14,85.7,3,5,60,0,0.1,0.1,1,4,2,0,7,67,2,7,37,23,1,67,0,0,,0,,42,98,31,0,2,0,0,3,50,5
Jana Fernandez,Portugal,03-07-2025,3,RB,23-135,25,21,24,87.5,373,113,8,10,80,11,11,100,2,3,66.7,0,0,0,0,2,0,0,3,28,1,4,18,6,0,28,0,0,,0,,10,40,29,0,2,0,0,0,10,1
Adriana Nanclares,Portugal,03-07-2025,23,GK,23-055,90,21,22,95.5,432,319,4,4,100,17,17,100,0,1,0,0,0,0,0,0,0,0,0,24,16,23,1,0,0,24,0,0,,0,,15,48,21,0,0,0,0,0,18,0
Esther Gonzalez,Belgium,07-07-2025,9,FW,32-211,72,15,19,78.9,245,31,7,8,87.5,7,8,87.5,1,2,50,0,0.1,0.1,1,0,1,1,2,29,1,1,5,23,8,29,1,1,100,0,0,20,84,38,2,0,1,3,0,19,8
Cristina Martin-Prieto,Belgium,07-07-2025,16,FW,32-115,18,3,6,50,31,0,2,4,50,1,1,100,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,6,1,7,1,1,100,0,0,3,11,0,0,0,0,0,2,4,3
Claudia Pina,Belgium,07-07-2025,20,"LW,RW",23-329,80,43,54,79.6,691,240,27,28,96.4,11,11,100,5,11,45.5,1,0.3,0.3,4,5,1,0,3,61,0,0,19,43,7,61,3,2,66.7,0,0,31,154,43,2,1,1,1,1,45,7
Salma Paralluelo,Belgium,07-07-2025,18,LW,21-236,10,3,6,50,36,11,3,3,100,0,1,0,0,2,0,0,0,0,0,0,0,0,1,7,0,0,5,2,0,7,0,0,,0,,4,20,10,0,0,0,0,2,6,1
Mariona Caldentey,Belgium,07-07-2025,8,"RW,LW",29-110,72,60,72,83.3,850,264,38,45,84.4,21,24,87.5,1,1,100,0,0.3,0.3,3,5,2,0,9,80,0,0,30,50,5,80,1,1,100,0,0,43,162,98,3,0,1,3,0,71,16
Athenea del Castillo,Belgium,07-07-2025,10,RW,24-256,18,7,9,77.8,131,30,4,5,80,2,3,66.7,1,1,100,0,0,0,0,0,0,0,2,13,1,1,0,12,2,13,1,1,100,0,0,6,33,10,0,1,0,1,0,6,0
Alexia Putellas,Belgium,07-07-2025,11,LM,31-153,90,79,90,87.8,1063,317,58,65,89.2,18,20,90,3,4,75,2,0.5,0.8,6,10,7,0,14,104,1,2,47,56,10,104,2,1,50,0,0,58,238,105,1,8,0,2,2,89,9
Patricia Guijarro,Belgium,07-07-2025,12,CM,27-051,90,106,122,86.9,1629,546,62,71,87.3,41,46,89.1,3,4,75,1,0.2,0.4,3,15,1,0,15,141,0,13,81,48,7,141,4,0,0,4,100,68,295,168,2,2,1,2,0,108,3
